approach;log;config;with_labels;label;precision;recall;F$_1$-score;support;ED;Seg. found;Seg. true;rand_mic;ari_mic;jaccard_mic;fowlkes_mallows_mic;rand_mac;ari_mac;jaccard_mac;fowlkes_mallows_mac;runtime;part;num_classes;sizeof_cooc;max_num_events;max_buffer_size;size_clust;size_full;avg_resp_seg;avg_resp_cat;obj_tp;obj_fp;obj_fn;obj_prec;obj_rec;obj_f1;obj_obj_relations_tp;obj_obj_relations_fp;obj_obj_relations_fn;obj_obj_relations_prec;obj_obj_relations_rec;obj_obj_relations_f1;obj_task_relations_tp;obj_task_relations_fp;obj_task_relations_fn;obj_task_relations_prec;obj_task_relations_rec;obj_task_relations_f1;label_prec;label_rec;label_f1;label_support;n;m
Ours old;L3.csv;max_buffer_size=250-warm_up_events=500-similarity_thresh=0.1-labels=None;FALSE;TF_04.csv;0.8169291338582677;0.9764705882352941;0.8896034297963559;425;0.2337739150504262;138;120;0.9119112736441256;0.7716875952849964;0.8415124030082081;0.831527076550108;0.9376917380725696;0.8323337318850563;0.8794530316269445;0.87369372076733;12.831.382.121.999.900;full;38;8856;82;2272;48;1703141;0;0.00309269471910248;0;46;0;0.0;0;0;0;0;0;0;0;0;0;46;0;0.0;0;0;0;0;0;0;0;0
Ours old;L3.csv;max_buffer_size=250-warm_up_events=500-similarity_thresh=0.1-labels=None;FALSE;TF_02.csv;0.9446366782006921;0.8980263157894737;0.9207419898819562;304;0.2337739150504262;138;120;0.9119112736441256;0.7716875952849964;0.8415124030082081;0.831527076550108;0.9376917380725696;0.8323337318850563;0.8794530316269445;0.87369372076733;12.831.382.121.999.900;full;38;8856;82;2272;48;1703141;0;0.00309269471910248;0;46;0;0.0;0;0;0;0;0;0;0;0;0;46;0;0.0;0;0;0;0;0;0;0;0
Ours old;L3.csv;max_buffer_size=250-warm_up_events=500-similarity_thresh=0.1-labels=None;TRUE;TF_03.csv;0.9854545454545455;0.8312883435582822;0.9018302828618968;326;0.2337739150504262;138;120;0.9119112736441256;0.7716875952849964;0.8415124030082081;0.831527076550108;0.9376917380725696;0.8323337318850563;0.8794530316269445;0.87369372076733;1.381.558.660.099.990;full;38;8856;82;2272;48;1703141;0;0.0033071575280956404;0;46;0;0.0;0;0;0;0;0;0;0;0;0;46;0;0.0;0;0;0.581140350877193;0.7083333333333334;0.6250343727657702;120;0;0
Ours old;L3.csv;max_buffer_size=250-warm_up_events=500-similarity_thresh=0.1-labels=None;TRUE;TF_13.csv;0.9745222929936306;0.9244712990936556;0.9488372093023255;331;0.2337739150504262;138;120;0.9119112736441256;0.7716875952849964;0.8415124030082081;0.831527076550108;0.9376917380725696;0.8323337318850563;0.8794530316269445;0.87369372076733;1.381.558.660.099.990;full;38;8856;82;2272;48;1703141;0;0.0033071575280956404;0;46;0;0.0;0;0;0;0;0;0;0;0;0;46;0;0.0;0;0;0.581140350877193;0.7083333333333334;0.6250343727657702;120;0;0
Ours old;L3.csv;max_buffer_size=250-warm_up_events=500-similarity_thresh=0.1-labels=None;TRUE;TF_04.csv;0.8169291338582677;0.9764705882352941;0.8896034297963559;425;0.2337739150504262;138;120;0.9119112736441256;0.7716875952849964;0.8415124030082081;0.831527076550108;0.9376917380725696;0.8323337318850563;0.8794530316269445;0.87369372076733;1.381.558.660.099.990;full;38;8856;82;2272;48;1703141;0;0.0033071575280956404;0;46;0;0.0;0;0;0;0;0;0;0;0;0;46;0;0.0;0;0;0.581140350877193;0.7083333333333334;0.6250343727657702;120;0;0
Ours old;L3.csv;max_buffer_size=250-warm_up_events=500-similarity_thresh=0.1-labels=None;TRUE;TF_02.csv;0.9446366782006921;0.8980263157894737;0.9207419898819562;304;0.2337739150504262;138;120;0.9119112736441256;0.7716875952849964;0.8415124030082081;0.831527076550108;0.9376917380725696;0.8323337318850563;0.8794530316269445;0.87369372076733;1.381.558.660.099.990;full;38;8856;82;2272;48;1703141;0;0.0033071575280956404;0;46;0;0.0;0;0;0;0;0;0;0;0;0;46;0;0.0;0;0;0.581140350877193;0.7083333333333334;0.6250343727657702;120;0;0
Ours old;L3.csv;max_buffer_size=250-warm_up_events=1000-similarity_thresh=0.1-labels=None;FALSE;TF_03.csv;0.9865771812080537;0.901840490797546;0.9423076923076924;326;0.2337739150504262;138;120;0.9371622360792036;0.8358678782669496;0.8842625906207794;0.8782995364542384;1.0;1.0;1.0;1.0;11.971.149.347.000.100;full;38;8856;82;2272;48;1703141;0;0.0054646729512147964;0;46;0;0.0;0;0;0;0;0;0;0;0;0;46;0;0.0;0;0;0;0;0;0;0;0
Ours old;L3.csv;max_buffer_size=250-warm_up_events=1000-similarity_thresh=0.1-labels=None;FALSE;TF_13.csv;0.9696969696969697;0.9667673716012085;0.968229954614221;331;0.2337739150504262;138;120;0.9371622360792036;0.8358678782669496;0.8842625906207794;0.8782995364542384;1.0;1.0;1.0;1.0;11.971.149.347.000.100;full;38;8856;82;2272;48;1703141;0;0.0054646729512147964;0;46;0;0.0;0;0;0;0;0;0;0;0;0;46;0;0.0;0;0;0;0;0;0;0;0
Ours old;L3.csv;max_buffer_size=250-warm_up_events=1000-similarity_thresh=0.1-labels=None;FALSE;TF_04.csv;0.870020964360587;0.9764705882352941;0.9201773835920177;425;0.2337739150504262;138;120;0.9371622360792036;0.8358678782669496;0.8842625906207794;0.8782995364542384;1.0;1.0;1.0;1.0;11.971.149.347.000.100;full;38;8856;82;2272;48;1703141;0;0.0054646729512147964;0;46;0;0.0;0;0;0;0;0;0;0;0;0;46;0;0.0;0;0;0;0;0;0;0;0
Ours old;L3.csv;max_buffer_size=250-warm_up_events=1000-similarity_thresh=0.1-labels=None;FALSE;TF_02.csv;0.9644128113879004;0.8914473684210527;0.9264957264957266;304;0.2337739150504262;138;120;0.9371622360792036;0.8358678782669496;0.8842625906207794;0.8782995364542384;1.0;1.0;1.0;1.0;11.971.149.347.000.100;full;38;8856;82;2272;48;1703141;0;0.0054646729512147964;0;46;0;0.0;0;0;0;0;0;0;0;0;0;46;0;0.0;0;0;0;0;0;0;0;0
