approach;log;config;with_labels;precision;recall;F$_1$-score;ED;Seg. found;Seg. true;rand_mic;ari_mic;jaccard_mic;fowlkes_mallows_mic;rand_mac;ari_mac;jaccard_mac;fowlkes_mallows_mac;runtime;part;num_classes;sizeof_cooc;max_num_events;max_buffer_size;size_clust;size_full;avg_resp_seg;avg_resp_cat;obj_tp;obj_fp;obj_fn;obj_prec;obj_rec;obj_f1;obj_obj_relations_tp;obj_obj_relations_fp;obj_obj_relations_fn;obj_obj_relations_prec;obj_obj_relations_rec;obj_obj_relations_f1;obj_task_relations_tp;obj_task_relations_fp;obj_task_relations_fn;obj_task_relations_prec;obj_task_relations_rec;obj_task_relations_f1;label_prec;label_rec;label_f1;label_support;n;m
Urabe et al.;log3.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;1.0;1.0;1.0;0.7942608301294934;76;1000;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;94.32889339200005;full;15;8856;655;18520;48;12434223;0;0.002887906764711675;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Urabe et al.;log3.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;1.0;1.0;1.0;0.9841064544210919;2;1000;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;53.22327640599997;full;15;8856;3740;147552;48;12296771;0;0.0017794480000361546;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Urabe et al.;log3.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;1.0;1.0;1.0;0.8017236498876112;16;1000;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;88.66895982999995;full;15;8856;2732;147552;48;12413111;0;0.002232268785722421;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Urabe et al.;StudentRecord.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;1.0;1.0;1.0;0.5960075371388661;14;51;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;24.256898099999944;full;36;8856;677;18520;48;2573492;0;0.0029250867499683864;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Urabe et al.;StudentRecord.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;1.0;1.0;1.0;0.7312890324311045;74;51;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;20.773087282000006;full;36;8856;223;9312;48;2572868;0;0.0020942741428533348;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Urabe et al.;StudentRecord.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;1.0;1.0;1.0;0.6717155847001957;5;51;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;13.043049306999933;full;36;8856;674;18520;48;2557775;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Urabe et al.;StudentRecord.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;1.0;1.0;1.0;0.9594813614262561;1;51;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;13.160494958999948;full;36;8856;1234;36960;48;2558412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;0.1007434237202866;0.3174010455563854;0.15294268068193173;0.7012955838404583;21;120;0.25593581538550847;0.0;0.1007434237202866;0.5059009936593409;0.3904761904761905;0.0;0.32653061224489793;0.6248809410409238;7.879273130999991;full;38;8856;305;9312;48;1702718;0;0;0;195;0;0.0;0;0;0;0;0;0;0;0;0;195;0;0.0;0;0;0;0;0;0;5;5
Urabe et al.;L3.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;0.1067998791285463;0.3268025078369906;0.16098835885177212;0.6775876020348458;31;120;0.25751920831028335;0.0;0.1067998791285463;0.5074635044121728;0.2623655913978495;0.0;0.1259105098855359;0.512216352138283;7.238058843999966;full;38;8856;255;9312;48;1702151;0;0;0;131;0;0.0;0;0;0;0;0;0;0;0;0;131;0;0.0;0;0;0;0;0;0;5;10
Urabe et al.;L3.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;0.10465569433628401;0.3235053235053235;0.15814926087203313;0.5991528776070653;34;120;0.25689773230756835;0.0;0.10465569433628401;0.5068507988625137;0.32085561497326204;0.0;0.25;0.5664411840370208;6.922251797999934;full;38;8856;95;4696;48;1701656;0;0;0;115;0;0.0;0;0;0;0;0;0;0;0;0;115;0;0.0;0;0;0;0;0;0;5;15
Urabe et al.;L3.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;0.10638711421602784;0.3261703760552571;0.16044260396236606;0.6423328323006114;31;120;0.25763068329849703;0.0;0.10638711421602784;0.507573328001479;0.33763440860215055;0.0;0.26638917793964617;0.5810631709221903;7.41912172800005;full;38;8856;121;4696;48;1702394;0;0;0;156;0;0.0;0;0;0;0;0;0;0;0;0;156;0;0.0;0;0;0;0;0;0;5;20
Urabe et al.;L3.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;0.10852421233655157;0.3294301327088212;0.16326425837125375;0.6656902940224684;24;120;0.25806742779078845;0.0;0.10852421233655157;0.5080033737986279;0.3804347826086957;0.0;0.29340277777777773;0.6167939547439613;6.976393532999964;full;38;8856;170;4696;48;1702196;0;0;0;141;0;0.0;0;0;0;0;0;0;0;0;0;141;0;0.0;0;0;0;0;0;0;10;5
Urabe et al.;L3.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;0.10477276563557697;0.32368621477532367;0.1583045354194621;0.6270141230223002;33;120;0.25722024594579534;0.0;0.10477276563557697;0.5071688534854988;0.2803030303030303;0.0;0.1322314049586777;0.5294365215047317;7.018705003000036;full;38;8856;214;9312;48;1702484;0;0;0;127;0;0.0;0;0;0;0;0;0;0;0;0;127;0;0.0;0;0;0;0;0;0;10;10
Urabe et al.;L3.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;0.10541406645302748;0.3246753246753247;0.1591545709192768;0.6038690768771365;39;120;0.25737250696775793;0.0;0.10541406645302748;0.5073189400838075;0.27125506072874495;0.0;0.16831032215647598;0.5208215248323987;6.685296379999954;full;38;8856;100;4696;48;1702448;0;0;0;128;0;0.0;0;0;0;0;0;0;0;0;0;128;0;0.0;0;0;0;0;0;0;10;15
Urabe et al.;L3.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;0.10638711421602784;0.3261703760552571;0.16044260396236606;0.6602464977173491;29;120;0.25763068329849703;0.0;0.10638711421602784;0.507573328001479;0.3522167487684729;0.0;0.267538644470868;0.593478515844064;6.978673224999966;full;38;8856;122;4696;48;1702394;0;0;0;149;0;0.0;0;0;0;0;0;0;0;0;0;149;0;0.0;0;0;0;0;0;0;10;20
Urabe et al.;L3.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;0.1088691129548458;0.3299531981279251;0.16371871297139276;0.6613621923775884;18;120;0.2581787580636715;0.0;0.1088691129548458;0.5081129382958788;0.5359477124183006;0.0;0.5216049382716049;0.7320844981409595;6.972172248999982;full;38;8856;505;18520;48;1702205;0;0;0;174;0;0.0;0;0;0;0;0;0;0;0;0;174;0;0.0;0;0;0;0;0;0;15;5
Urabe et al.;L3.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;0.10714471871169275;0.3273296789350039;0.16144401863696947;0.6887331974798507;22;120;0.2576277177848749;0.0;0.10714471871169275;0.5075704067268647;0.329004329004329;0.0;0.20661157024793386;0.5735889896121865;7.138890794000076;full;38;8856;342;18520;48;1702160;0;0;0;151;0;0.0;0;0;0;0;0;0;0;0;0;151;0;0.0;0;0;0;0;0;0;15;10
Urabe et al.;L3.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;0.10611024992052129;0.32574568288854006;0.1600763272927698;0.666198683765447;27;120;0.2573039125614594;0.0;0.10611024992052129;0.5072513307636161;0.2934472934472934;0.0;0.19753086419753085;0.5417077564954128;6.754680456000074;full;38;8856;154;4696;48;1702133;0;0;0;133;0;0.0;0;0;0;0;0;0;0;0;0;133;0;0.0;0;0;0;0;0;0;15;15
Urabe et al.;L3.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;0.10638711421602784;0.3261703760552571;0.16044260396236606;0.6619572911091389;26;120;0.25763068329849703;0.0;0.10638711421602784;0.507573328001479;0.3723076923076923;0.0;0.28994082840236685;0.610170215847752;7.565213564000032;full;38;8856;208;9312;48;1702394;0;0;0;158;0;0.0;0;0;0;0;0;0;0;0;0;158;0;0.0;0;0;0;0;0;0;15;20
Urabe et al.;L3.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;0.10312975080970323;0.32113821138211385;0.15612257661038148;0.8239659591235244;8;120;0.25648455019944827;0.0;0.10312975080970323;0.5064430374676389;0.39285714285714285;0.0;0.390625;0.6267831705280087;6.8711361270001134;full;38;8856;591;18520;48;1701737;0;0;0;200;0;0.0;0;0;0;0;0;0;0;0;0;200;0;0.0;0;0;0;0;0;0;20;5
Urabe et al.;L3.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;0.10714471871169275;0.3273296789350039;0.16144401863696947;0.6862129374091174;18;120;0.2576277177848749;0.0;0.10714471871169275;0.5075704067268647;0.3790849673202614;0.0;0.30864197530864196;0.6156987634551992;7.067451990000109;full;38;8856;484;18520;48;1702160;0;0;0;188;0;0.0;0;0;0;0;0;0;0;0;0;188;0;0.0;0;0;0;0;0;0;20;10
Urabe et al.;L3.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;0.10611024992052129;0.32574568288854006;0.1600763272927698;0.6841187819532863;21;120;0.2573039125614594;0.0;0.10611024992052129;0.5072513307636161;0.34285714285714286;0.0;0.2743764172335601;0.5855400437691199;6.937601645000086;full;38;8856;247;9312;48;1702133;0;0;0;173;0;0.0;0;0;0;0;0;0;0;0;0;173;0;0.0;0;0;0;0;0;0;20;15
Urabe et al.;L3.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;0.10507595139655364;0.3241542092840283;0.1587065172014494;0.7225763515635715;18;120;0.25698532372674504;0.0;0.10507595139655364;0.5069371989968235;0.5228758169934641;0.0;0.5216049382716049;0.7231015260621872;6.924061518999906;full;38;8856;244;9312;48;1702106;0;0;0;199;0;0.0;0;0;0;0;0;0;0;0;0;199;0;0.0;0;0;0;0;0;0;20;20
Urabe et al.;L2.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;0.8549138194393817;0.8349460571682794;0.8416480342492568;0.45799582891488383;234;240;0.8631318749227537;0.6547687086550112;0.7369552284514933;0.7489353891149564;0.9148233740508419;0.7881193348068167;0.8497830083195937;0.8471659123859477;72.7643523889999;full;117;8856;140;4696;48;11125796;0;0.003248586587943834;978;363;120;0.7293064876957495;0.8907103825136612;0.8019680196801968;7317;0;443;1.0;0.9429123711340206;0.9706174968495058;978;363;120;0.7293064876957495;0.8907103825136612;0.8019680196801968;0;0;0;0;5;5
Urabe et al.;L2.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;0.7642598629423469;0.7182283552192299;0.7226328049185622;0.5581073086591575;220;240;0.7803721884323614;0.4638577575584622;0.5827127369976314;0.6180225379473401;0.7679119966791199;0.41524341017152105;0.5975424120171482;0.5750048932515011;89.12795908399994;full;117;8856;215;9312;48;11125904;0;0.003913344537233734;832;354;266;0.7015177065767285;0.7577413479052824;0.7285464098073556;5425;0;2335;1.0;0.6990979381443299;0.8229048160788774;832;354;266;0.7015177065767285;0.7577413479052824;0.7285464098073556;0;0;0;0;5;10
Urabe et al.;L2.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;0.7222478859982041;0.6992539806257655;0.6810281205759826;0.5283563330312171;219;240;0.7699646544089985;0.4497450187955319;0.5540686361682257;0.6135858553188376;0.7499057433706171;0.38874896808670506;0.5042699142078426;0.5640316004806311;78.75379270100007;full;117;8856;127;4696;48;11124242;0;0.0034463298907075773;726;365;372;0.6654445462878094;0.6612021857923497;0.663316582914573;4361;0;3399;1.0;0.5619845360824742;0.7195775926078707;726;365;372;0.6654445462878094;0.6612021857923497;0.663316582914573;0;0;0;0;5;15
Urabe et al.;L2.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;0.4049294270381515;0.45487283367094306;0.39342663318826193;0.5525976877548078;146;240;0.5169428657448167;0.051582230719112276;0.26318579606956716;0.414891789707899;0.5833726972130373;0.07128525342275657;0.2893511706297094;0.3777251326990609;169.65190655300012;full;117;8856;218;9312;48;11122527;0;0.0033329352950949827;800;678;298;0.5412719891745602;0.7285974499089253;0.6211180124223602;5635;0;2125;1.0;0.726159793814433;0.8413587159387832;800;678;298;0.5412719891745602;0.7285974499089253;0.6211180124223602;0;0;0;0;5;20
Urabe et al.;L2.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;0.7678289020089925;0.7608719830942053;0.7553862373935695;0.46968521573110156;220;240;0.7820043749100726;0.48077531758356573;0.6130945461322376;0.6366711233116775;0.8789124117891242;0.702881031020331;0.76495670995671;0.7876031098091346;166.13906401299982;full;117;8856;214;9312;48;11124937;0;0.003216574410521389;943;443;155;0.6803751803751804;0.8588342440801457;0.7592592592592593;7144;0;616;1.0;0.9206185567010309;0.9586688137412775;943;443;155;0.6803751803751804;0.8588342440801457;0.7592592592592593;0;0;0;0;10;5
Urabe et al.;L2.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;0.7995933559563942;0.7234587135544179;0.7434466454931886;0.5808355059411527;221;240;0.7943529048649349;0.4721581571151374;0.6080766916666343;0.61229401075738;0.7309337721102427;0.334912641938744;0.5487327118599717;0.5220834892178107;127.20849349000014;full;117;8856;147;4696;48;11125834;0;0.0034926182486829235;807;414;291;0.6609336609336609;0.7349726775956285;0.6959896507115136;5432;0;2328;1.0;0.7;0.8235294117647058;807;414;291;0.6609336609336609;0.7349726775956285;0.6959896507115136;0;0;0;0;10;10
Urabe et al.;L2.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;0.6565973747142426;0.6661841665738781;0.6530171788449974;0.539028133961374;210;240;0.7421820477727169;0.3873399862283282;0.5099801441686547;0.5715789739257302;0.7441786283891547;0.3349819586279111;0.48737275147213044;0.507805728932206;86.65872495200006;full;117;8856;142;4696;48;11124727;0;0.0032071341534199087;737;369;361;0.666365280289331;0.6712204007285975;0.6687840290381125;4608;0;3152;1.0;0.5938144329896907;0.7451487710219922;737;369;361;0.666365280289331;0.6712204007285975;0.6687840290381125;0;0;0;0;10;15
Urabe et al.;L2.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;0.33146508432182215;0.44888392857142856;0.3547853129353109;0.577444643655903;144;240;0.47313807045588635;0.044627497659312114;0.2418957249888233;0.44343018836883125;0.5086441336441336;0.04766645896776572;0.3052539733676976;0.4445398641265729;196.27992404500014;full;117;8856;219;9312;48;11123489;0;0.0034974440666644567;808;654;290;0.5526675786593708;0.7358834244080146;0.63125;5716;0;2044;1.0;0.73659793814433;0.8483229444939151;808;654;290;0.5526675786593708;0.7358834244080146;0.63125;0;0;0;0;10;20
Urabe et al.;L2.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;0.7414533383282551;0.725169614058503;0.717681444162251;0.47445382300565464;201;240;0.7514134082172643;0.4189617432079311;0.5706740271093037;0.5988993739480326;0.8244776119402986;0.577472764603981;0.6961228556738561;0.7025848417901839;115.03771639900015;full;117;8856;250;9312;48;11124943;0;0.0036027533907986515;932;512;166;0.6454293628808865;0.848816029143898;0.7332808811959088;6907;0;853;1.0;0.8900773195876288;0.9418422308583896;932;512;166;0.6454293628808865;0.848816029143898;0.7332808811959088;0;0;0;0;15;5
Urabe et al.;L2.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;0.7701010407397274;0.7006454484754062;0.7203793279627945;0.5895418378937012;218;240;0.7821551635196827;0.44140699261650346;0.579979345226899;0.5898493806113643;0.7243478628503783;0.32393679158769423;0.5285823826434389;0.5167005444589842;115.52898396900036;full;117;8856;216;9312;48;11125767;0;0.003074067390371737;809;404;289;0.6669414674361088;0.7367941712204007;0.7001298139333622;5430;0;2330;1.0;0.6997422680412371;0.8233510235026535;809;404;289;0.6669414674361088;0.7367941712204007;0.7001298139333622;0;0;0;0;15;10
Urabe et al.;L2.csv;max_buffer_size=1500-warm_up_events=1500-similarity_thresh=0.1-labels=None;False;0.6279346637268033;0.6117804551539491;0.5790716790073679;0.5583469265109048;165;240;0.6507451452829305;0.24398262796509027;0.428745935766424;0.5054227400341141;0.7261640798226164;0.3338448943437324;0.5179166905738781;0.5263503898056746;171.07768401400017;full;117;8856;218;9312;48;11123932;0;0.0032712306518482767;857;569;241;0.6009817671809257;0.7805100182149363;0.679080824088748;5984;0;1776;1.0;0.7711340206185567;0.870779976717113;857;569;241;0.6009817671809257;0.7805100182149363;0.679080824088748;0;0;0;0;15;15
