approach;log;config;with_labels;precision;recall;F$_1$-score;ED;Seg. found;Seg. true;rand_mic;ari_mic;jaccard_mic;fowlkes_mallows_mic;rand_mac;ari_mac;jaccard_mac;fowlkes_mallows_mac;runtime;part;num_classes;sizeof_cooc;max_num_events;max_buffer_size;size_clust;size_full;avg_resp_seg;avg_resp_cat;obj_tp;obj_fp;obj_fn;obj_prec;obj_rec;obj_f1;obj_obj_relations_tp;obj_obj_relations_fp;obj_obj_relations_fn;obj_obj_relations_prec;obj_obj_relations_rec;obj_obj_relations_f1;obj_task_relations_tp;obj_task_relations_fp;obj_task_relations_fn;obj_task_relations_prec;obj_task_relations_rec;obj_task_relations_f1;label_prec;label_rec;label_f1;label_support
Ours;L3.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;True;0.9655702300263151;0.9653429602888086;0.9650353887886489;0.16725545077817805;132;120;0.9663195676217108;0.9110872160301876;0.9329551192938409;0.9336563612093377;1.0;1.0;1.0;1.0;16.758154898000015;full;38;8856;29;2272;48;1799483;0.01233806921428822;0.03456456900002536;0;47;0;0.0;0;0;0;0;0;0;0;0;0;47;0;0.0;0;0;0.625;0.75;0.6666666666666666;120
Ours;L2.csv;max_buffer_size=250-warm_up_events=0-similarity_thresh=0.3-labels=None;False;0.9620795452392906;0.9606063959278521;0.9606934878504251;0.04691829395734762;241;240;0.9565117249762094;0.8917260977513947;0.9243970292837763;0.9218552492608888;0.9727524204702628;0.9328672060395052;0.9452793015184614;0.9518827952104927;195.910687423;full;117;8856;149;9312;48;11126002;0.02013956244444621;0.0024009505352687466;1025;55;73;0.9490740740740741;0.9335154826958105;0.941230486685032;7760;0;0;1.0;1.0;1.0;1025;55;73;0.9490740740740741;0.9335154826958105;0.941230486685032;0;0;0;0
Ours;L2.csv;max_buffer_size=250-warm_up_events=100-similarity_thresh=0.3-labels=None;False;0.9620795452392906;0.9606063959278521;0.9606934878504251;0.04691829395734762;241;240;0.9565117249762094;0.8917260977513947;0.9243970292837763;0.9218552492608888;0.9727524204702628;0.9328672060395052;0.9452793015184614;0.9518827952104927;194.06941278099998;full;117;8856;149;9312;48;11126002;0.01986670873718128;0.002364077924998753;1025;55;73;0.9490740740740741;0.9335154826958105;0.941230486685032;7760;0;0;1.0;1.0;1.0;1025;55;73;0.9490740740740741;0.9335154826958105;0.941230486685032;0;0;0;0
Ours;L2.csv;max_buffer_size=250-warm_up_events=250-similarity_thresh=0.3-labels=None;False;0.9620795452392906;0.9606063959278521;0.9606934878504251;0.04691829395734762;241;240;0.9565117249762094;0.8917260977513947;0.9243970292837763;0.9218552492608888;0.9727524204702628;0.9328672060395052;0.9452793015184614;0.9518827952104927;240.156031064;full;117;8856;149;9312;48;11126002;0.02019116499786177;0.0023869072573849933;1025;55;73;0.9490740740740741;0.9335154826958105;0.941230486685032;7760;0;0;1.0;1.0;1.0;1025;55;73;0.9490740740740741;0.9335154826958105;0.941230486685032;0;0;0;0
Ours;L2.csv;max_buffer_size=250-warm_up_events=500-similarity_thresh=0.3-labels=None;False;0.945364282690479;0.9434546862896979;0.9435880864097838;0.04691829395734762;241;240;0.9434626217934503;0.8596995395809498;0.8937962795888675;0.8989510037761449;0.9496542185338865;0.8752801548643131;0.9007639086689887;0.9103527290000305;242.42273610100005;full;117;8856;149;9312;48;11125941;0.01984688303846522;0.0023339517086949104;1025;55;73;0.9490740740740741;0.9335154826958105;0.941230486685032;7760;0;0;1.0;1.0;1.0;1025;55;73;0.9490740740740741;0.9335154826958105;0.941230486685032;0;0;0;0
Ours;L2.csv;max_buffer_size=250-warm_up_events=1000-similarity_thresh=0.3-labels=None;False;0.9836658134102654;0.9830696027442736;0.9831433594915501;0.04691829395734762;241;240;0.9824962136135722;0.9562704552512462;0.9669113642864899;0.9684003115043901;0.9948132780082988;0.9872853188518449;0.991742327759747;0.9909191413891434;204.01289190499983;full;117;8856;149;9312;48;11126026;0.020731540151713874;0.002791477189819918;1025;55;73;0.9490740740740741;0.9335154826958105;0.941230486685032;7760;0;0;1.0;1.0;1.0;1025;55;73;0.9490740740740741;0.9335154826958105;0.941230486685032;0;0;0;0
Ours;L2.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;False;0.9836658134102654;0.9830696027442736;0.9831433594915501;0.04691829395734762;241;240;0.9824962136135722;0.9562704552512462;0.9669113642864899;0.9684003115043901;0.9948132780082988;0.9872853188518449;0.991742327759747;0.9909191413891434;189.5029009660002;full;117;8856;149;9312;48;11126026;0.01908887188889683;0.036504711500128906;1025;55;73;0.9490740740740741;0.9335154826958105;0.941230486685032;7760;0;0;1.0;1.0;1.0;1025;55;73;0.9490740740740741;0.9335154826958105;0.941230486685032;0;0;0;0
Ours;L2.csv;max_buffer_size=250-warm_up_events=0-similarity_thresh=0.3-labels=None;True;0.9620795452392906;0.9606063959278521;0.9606934878504251;0.04691829395734762;241;240;0.9565117249762094;0.8917260977513947;0.9243970292837763;0.9218552492608888;0.9727524204702628;0.9328672060395052;0.9452793015184614;0.9518827952104927;181.15911159100006;full;117;8856;149;9312;48;11126002;0.01863789471794975;0.00209325287135516;1025;55;73;0.9490740740740741;0.9335154826958105;0.941230486685032;7760;0;0;1.0;1.0;1.0;1025;55;73;0.9490740740740741;0.9335154826958105;0.941230486685032;0.6458616890271567;0.7333333333333333;0.6593029333108966;240
Ours;L2.csv;max_buffer_size=250-warm_up_events=100-similarity_thresh=0.3-labels=None;True;0.9620795452392906;0.9606063959278521;0.9606934878504251;0.04691829395734762;241;240;0.9565117249762094;0.8917260977513947;0.9243970292837763;0.9218552492608888;0.9727524204702628;0.9328672060395052;0.9452793015184614;0.9518827952104927;184.53653547399995;full;117;8856;149;9312;48;11779423;0.01879845536110578;0.0020886104249977205;1025;55;73;0.9490740740740741;0.9335154826958105;0.941230486685032;7760;0;0;1.0;1.0;1.0;1025;55;73;0.9490740740740741;0.9335154826958105;0.941230486685032;0.6458616890271567;0.7333333333333333;0.6593029333108966;240
Ours;L2.csv;max_buffer_size=250-warm_up_events=250-similarity_thresh=0.3-labels=None;True;0.9620795452392906;0.9606063959278521;0.9606934878504251;0.04691829395734762;241;240;0.9565117249762094;0.8917260977513947;0.9243970292837763;0.9218552492608888;0.9727524204702628;0.9328672060395052;0.9452793015184614;0.9518827952104927;217.04174442900012;full;117;8856;149;9312;48;11779423;0.018142858538456194;0.002091093789036132;1025;55;73;0.9490740740740741;0.9335154826958105;0.941230486685032;7760;0;0;1.0;1.0;1.0;1025;55;73;0.9490740740740741;0.9335154826958105;0.941230486685032;0.6458616890271567;0.7333333333333333;0.6593029333108966;240
