approach;log;config;with_labels;label;precision;recall;F$_1$-score;support;ED;Seg. found;Seg. true;rand_mic;ari_mic;jaccard_mic;fowlkes_mallows_mic;rand_mac;ari_mac;jaccard_mac;fowlkes_mallows_mac;runtime;part;num_classes;sizeof_cooc;max_num_events;max_buffer_size;size_clust;size_full;avg_resp_seg;avg_resp_cat;obj_tp;obj_fp;obj_fn;obj_prec;obj_rec;obj_f1;obj_obj_relations_tp;obj_obj_relations_fp;obj_obj_relations_fn;obj_obj_relations_prec;obj_obj_relations_rec;obj_obj_relations_f1;obj_task_relations_tp;obj_task_relations_fp;obj_task_relations_fn;obj_task_relations_prec;obj_task_relations_rec;obj_task_relations_f1;label_prec;label_rec;label_f1;label_support;n;m
Ours;L2.csv;max_buffer_size=250-warm_up_events=25-similarity_thresh=0.5-labels=None;False;CopyPasteStuff;0.9411375661375662;0.9834139599170698;0.9618114227779655;1447;0.052698789185526326;238;240;0.9565117249762094;0.8917260977513947;0.9243970292837763;0.9218552492608888;0.9726979399354678;0.9331359931120587;0.9448189591286664;0.9522715960180198;204.7459805;full;117;8856;153;9312;48;11126002;0.02020459029487188;0.002519741474790647;2070;120;151;0.9452054794520548;0.9320126069338136;0.9385626841985946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ours;L2.csv;max_buffer_size=250-warm_up_events=25-similarity_thresh=0.5-labels=None;False;StudentRecord;0.9761431411530815;0.9571150097465887;0.9665354330708661;1539;0.052698789185526326;238;240;0.9565117249762094;0.8917260977513947;0.9243970292837763;0.9218552492608888;0.9726979399354678;0.9331359931120587;0.9448189591286664;0.9522715960180198;204.7459805;full;117;8856;153;9312;48;11126002;0.02020459029487188;0.002519741474790647;2070;120;151;0.9452054794520548;0.9320126069338136;0.9385626841985946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ours;L2.csv;max_buffer_size=250-warm_up_events=25-similarity_thresh=0.5-labels=None;False;TravelRequest;0.9299774120684091;0.9802721088435374;0.9544626593806922;2940;0.052698789185526326;238;240;0.9565117249762094;0.8917260977513947;0.9243970292837763;0.9218552492608888;0.9726979399354678;0.9331359931120587;0.9448189591286664;0.9522715960180198;204.7459805;full;117;8856;153;9312;48;11126002;0.02020459029487188;0.002519741474790647;2070;120;151;0.9452054794520548;0.9320126069338136;0.9385626841985946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ours;L2.csv;max_buffer_size=250-warm_up_events=25-similarity_thresh=0.5-labels=None;False;Reimbursement;0.9952005485087418;0.9331404693024751;0.9631718646317186;3111;0.052698789185526326;238;240;0.9565117249762094;0.8917260977513947;0.9243970292837763;0.9218552492608888;0.9726979399354678;0.9331359931120587;0.9448189591286664;0.9522715960180198;204.7459805;full;117;8856;153;9312;48;11126002;0.02020459029487188;0.002519741474790647;2070;120;151;0.9452054794520548;0.9320126069338136;0.9385626841985946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
