approach;log;config;with_labels;precision;recall;F$_1$-score;ED;Seg. found;Seg. true;rand_mic;ari_mic;jaccard_mic;fowlkes_mallows_mic;rand_mac;ari_mac;jaccard_mac;fowlkes_mallows_mac;runtime;part;num_classes;sizeof_cooc;max_num_events;max_buffer_size;size_clust;size_full;avg_resp_seg;avg_resp_cat;obj_tp;obj_fp;obj_fn;obj_prec;obj_rec;obj_f1;obj_obj_relations_tp;obj_obj_relations_fp;obj_obj_relations_fn;obj_obj_relations_prec;obj_obj_relations_rec;obj_obj_relations_f1;obj_task_relations_tp;obj_task_relations_fp;obj_task_relations_fn;obj_task_relations_prec;obj_task_relations_rec;obj_task_relations_f1;label_prec;label_rec;label_f1;label_support;n;m
Ours;L3.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;False;0.9655702300263151;0.9653429602888086;0.9650353887886489;0.16725545077817805;132;120;0.9663195676217108;0.9110872160301876;0.9329551192938409;0.9336563612093377;1.0;1.0;1.0;1.0;16.143098576;full;38;8856;29;2272;48;1703132;0.013530107583333279;0.0818818144999991;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ours;L2.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;False;0.9836658134102654;0.9830696027442736;0.9831433594915501;0.052698789185526326;238;240;0.9824962136135722;0.9562704552512462;0.9669113642864899;0.9684003115043901;0.9946814168705457;0.9870490111924867;0.9916382394541976;0.9907920442920073;212.754663206;full;117;8856;153;9312;48;11126026;0.021287975807692535;0.04334296049999864;1098;82;0;0.9305084745762712;1.0;0.9640035118525021;7760;0;0;1.0;1.0;1.0;1098;82;0;0.9305084745762712;1.0;0.9640035118525021;0;0;0;0;0;0
Ours;L1.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;False;0.9880039316612033;0.9877330716388616;0.9877451563725957;0.03877571556013127;202;200;0.9819079562578954;0.9614839417926366;0.9757962407226003;0.9760272555874957;0.9901482685581992;0.978855944207439;0.9805788271134807;0.986668444207439;129.993432647;full;69;8856;123;9312;48;6373510;0.013716795758699447;0.03295539350003196;622;81;0;0.8847795163584637;1.0;0.9388679245283019;2500;0;0;1.0;1.0;1.0;622;81;0;0.8847795163584637;1.0;0.9388679245283019;0;0;0;0;0;0
