approach;log;config;with_labels;precision;recall;F$_1$-score;ED;Seg. found;Seg. true;rand_mic;ari_mic;jaccard_mic;fowlkes_mallows_mic;rand_mac;ari_mac;jaccard_mac;fowlkes_mallows_mac;runtime;part;num_classes;sizeof_cooc;max_num_events;max_buffer_size;size_clust;size_full;avg_resp_seg;avg_resp_cat;obj_tp;obj_fp;obj_fn;obj_prec;obj_rec;obj_f1;obj_obj_relations_tp;obj_obj_relations_fp;obj_obj_relations_fn;obj_obj_relations_prec;obj_obj_relations_rec;obj_obj_relations_f1;obj_task_relations_tp;obj_task_relations_fp;obj_task_relations_fn;obj_task_relations_prec;obj_task_relations_rec;obj_task_relations_f1;label_prec;label_rec;label_f1;label_support;n;m
Urabe et al. (online)';L3.csv;max_buffer_size=250-warm_up_events=250-similarity_thresh=0.1-labels=None;FALSE;0.6750735322877451;0.6341991341991342;0.6247428380304682;0.10832242945253065;102;120;0.7208662176171201;0.3100075816006244;0.46472772847554145;0.5037099640132968;0.7439332168510969;0.3318754077951503;0.4798146053625999;0.5045115634076014;12.390.078.909.000.000;full;38;8856;57;2272;48;1703141;0;0.002889301611114408;0;51;0;0.0;0;0;0;0;0;0;0;0;0;51;0;0.0;0;0;0;0;0;0;5;5
Urabe et al. (online)';L3.csv;max_buffer_size=250-warm_up_events=250-similarity_thresh=0.1-labels=None;TRUE;0.6750735322877451;0.6341991341991342;0.6247428380304682;0.10832242945253065;102;120;0.7208662176171201;0.3100075816006244;0.46472772847554145;0.5037099640132968;0.7439332168510969;0.3318754077951503;0.4798146053625999;0.5045115634076014;13.585.409.624.000.000;full;38;8856;57;2272;48;1703141;0;0.0029015713444651837;0;51;0;0.0;0;0;0;0;0;0;0;0;0;51;0;0.0;0;0;0.5419850288950083;0.65;0.5707328935390141;120;5;5
Urabe et al. (online)';L3.csv;max_buffer_size=250-warm_up_events=500-similarity_thresh=0.1-labels=None;FALSE;0.632056419783252;0.6111111111111112;0.6044642486980393;0.10832242945253065;102;120;0.7251295836133381;0.3043488797112718;0.4453948898653295;0.49268248597148573;0.7460687245195108;0.3284770445569778;0.45215158255815696;0.4984809155008105;14.132.286.568.000.100;full;38;8856;57;2272;48;1703141;0;0.003976091842855567;0;51;0;0.0;0;0;0;0;0;0;0;0;0;51;0;0.0;0;0;0;0;0;0;5;5
Urabe et al. (online)';L3.csv;max_buffer_size=250-warm_up_events=500-similarity_thresh=0.1-labels=None;TRUE;0.632056419783252;0.6111111111111112;0.6044642486980393;0.10832242945253065;102;120;0.7251295836133381;0.3043488797112718;0.4453948898653295;0.49268248597148573;0.7460687245195108;0.3284770445569778;0.45215158255815696;0.4984809155008105;11.461.647.703.000.100;full;38;8856;57;2272;48;1703141;0;0.0032024697285643403;0;51;0;0.0;0;0;0;0;0;0;0;0;0;51;0;0.0;0;0;0.5419850288950083;0.65;0.5707328935390141;120;5;5
Urabe et al. (online)';L3.csv;max_buffer_size=250-warm_up_events=1000-similarity_thresh=0.1-labels=None;FALSE;0.8991011723010558;0.8434343434343434;0.8509383283036502;0.10832242945253065;102;120;0.8526596548257198;0.6243483104427899;0.7469420256552463;0.7254946873174013;0.926033779848573;0.802427491027833;0.8655462184873949;0.8517165601817178;11.018.843.606.000.000;full;38;8856;57;2272;48;1703141;0;0.0045606585333340865;0;51;0;0.0;0;0;0;0;0;0;0;0;0;51;0;0.0;0;0;0;0;0;0;5;5
Urabe et al. (online)';L3.csv;max_buffer_size=250-warm_up_events=1000-similarity_thresh=0.1-labels=None;TRUE;0.8991011723010558;0.8434343434343434;0.8509383283036502;0.10832242945253065;102;120;0.8526596548257198;0.6243483104427899;0.7469420256552463;0.7254946873174013;0.926033779848573;0.802427491027833;0.8655462184873949;0.8517165601817178;9.801.980.401.000.030;full;38;8856;57;2272;48;1703141;0;0.003680705700010852;0;51;0;0.0;0;0;0;0;0;0;0;0;0;51;0;0.0;0;0;0.5419850288950083;0.65;0.5707328935390141;120;5;5
Urabe et al. (online)';L3.csv;max_buffer_size=250-warm_up_events=0-similarity_thresh=0.1-labels=None;FALSE;0.7505295018247227;0.6341991341991342;0.6357325128415999;0.10832242945253065;102;120;0.6962382984043634;0.2814662330170663;0.47759223982568544;0.49672523136574814;0.7181129877693652;0.28905435342817487;0.500231156417769;0.48241855993897387;8.007.465.079.999.970;full;38;8856;57;2272;48;1703141;0;0.002426498617648808;0;51;0;0.0;0;0;0;0;0;0;0;0;0;51;0;0.0;0;0;0;0;0;0;5;5
Urabe et al. (online)';L3.csv;max_buffer_size=250-warm_up_events=0-similarity_thresh=0.1-labels=None;TRUE;0.7505295018247227;0.6341991341991342;0.6357325128415999;0.10832242945253065;102;120;0.6962382984043634;0.2814662330170663;0.47759223982568544;0.49672523136574814;0.7181129877693652;0.28905435342817487;0.500231156417769;0.48241855993897387;8.041.553.363.000.040;full;38;8856;57;2272;48;1703141;0;0.002347871176465667;0;51;0;0.0;0;0;0;0;0;0;0;0;0;51;0;0.0;0;0;0.5419850288950083;0.65;0.5707328935390141;120;5;5
Urabe et al. (online)';L3.csv;max_buffer_size=250-warm_up_events=250-similarity_thresh=0.1-labels=None;FALSE;0.6728430618874011;0.5461760461760462;0.5076562062005109;0.14264886048809172;89;120;0.5912482222951537;0.15553664990850716;0.34752583778144736;0.45382605842844526;0.6552604698672114;0.1869621117515702;0.3962960527710049;0.42795167858849725;12.013.877.310.000.200;full;38;8856;78;2272;48;1703141;0;0.003026237675671099;0;47;0;0.0;0;0;0;0;0;0;0;0;0;47;0;0.0;0;0;0;0;0;0;5;10
Urabe et al. (online)';L3.csv;max_buffer_size=250-warm_up_events=250-similarity_thresh=0.1-labels=None;TRUE;0.6728430618874011;0.5461760461760462;0.5076562062005109;0.14264886048809172;89;120;0.5912482222951537;0.15553664990850716;0.34752583778144736;0.45382605842844526;0.6552604698672114;0.1869621117515702;0.3962960527710049;0.42795167858849725;1.079.924.361.899.990;full;38;8856;78;2272;48;1703141;0;0.0029288835000068356;0;47;0;0.0;0;0;0;0;0;0;0;0;0;47;0;0.0;0;0;0.5264880952380953;0.6416666666666667;0.5620093515442351;120;5;10
